S. No.,Br. No. ,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
1,10630,28-Mar-15,64429,13th Finance,13th Finance-2013-14(Electrical),Ujjwala Enterprises Hubli,"ºÀÄ§â½îAiÀÄ ªÁqÀğ £ÀA 35 gÀ°è §gÀÄªÀ ZÉÃvÀ£Á PÁ¯ÉÃd, CPÀëAiÀÄ PÁ®¤ ªÀÄÄRå gÀ¸ÉÛAiÀÄ°èAiÀÄ ""ÄrAiÀÄ£À ©Ã¢ ¢Ã¥ÀUÀ¼À PÉÃ§® ºÁUÀÆ ¥É£À® ¨ÉÆÃqÀğ, PÀAmÉÆæÃ® ¨ÁPÀì EvÁå¢UÀ¼À£ÀÄß §zÀ¯ÁÄ¸ÀÄªÀzÀÄ","Providing median Straight lights cable and penal board, control box etc in Chetan college Aksya colony 
main roads in ward No.35

",01-Apr-15,214413,08-Apr-15,214413
2,9973,11-Mar-15,55970,13th Finance,13th Finance-2012-13(Electrical),Deepa Solar Lighting Systems,2012-13 £ÉÃ ¸Á°£À 13 £ÉÃ ºÀtPÁ¸ÀÄ C£ÀÄzÁ£ÀzÀ CrAiÀÄ°èAiÀÄ ©Ã¢ ¢Ã¥À C¼ÀªÀrPÉ PÁªÀÄUÁjUÀ¼ÀÄ.,Electrical Works under 13th Finance for the year 2012-13,09-Apr-15,426740,10-Apr-15,426740
3,10740,30-Mar-15,65824,13th Finance,13th Finance-2013-14(RD_BRDG),Bharat Enterprises Hubli (Bagi),ºÀÄ.«.ªÁqÀğ £ÀA 46 gÀ £ÀÆåPÁl£ï ªÀiÁPÉğl ¢AzÀ «L¦ gÀ¸ÉÛ ºÁUÀÆ ¦PÉÆÃPï ºÉÆÃmÉ¯ï gÀ¸ÉÛ¬ÄAzÀ ¥ÉÆÃ°¸ï ¸ÉÖÃµÀ£ï ªÀgÉV£À gÀ¸ÉÛUÀ¼À£ÀÄß ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ,Improvement road of New Cotton market of VIP road from Peacock hotel to Police Station and reapir to culvert of ward No : 46,09-Apr-15,1494030,10-Apr-15,1494030
4,10902,31-Mar-15,62185,13th Finance,13th Finance(P)2012-13(UGD),Gudadur R.R.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 03 ªÁqÀğ £ÀA 12 gÀ ¸ÉÊzÁ¥ÀÆgÀ zÀAr£À NtÂ ¨sÁUÀzÀ°è M¼ÀZÀgÀAr ZÉÃA§gÀ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ. (EAqÉÃ£ïÖ £ÀA. 17238),Regareding UGD Line Work At Saidapur Dhandin Oni. in ward no 12 of Dharwad,09-Apr-15,517084,20-Apr-15,517084
5,10840,31-Mar-15,66340,13th Finance,13th Finance(P)2012-13(swm),Ray Engineers and Fabricators Belgaum,¥Áè¹ÖPï ¨ÉÊ°AUï  0.8 ¸ÁªÀÄxÀåğ AiÀÄAvÀæªÀ£ÀÄß ¥ÀÆgÉÊ¸ÀÄªÀ PÀÄjvÀÄ.,Supply of Plastic Balling Machine Capacity 0.8 ton/day,20-Apr-15,638800,20-Apr-15,638800
6,10944,31-Mar-15,62117,13th Finance,13th Finance-2013-14(UGD),M M Patil,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 01 ªÁqÀğ £ÀA 02gÀ°è ºÀÄqÉÆÌÃ PÁ®¤AiÀÄ°è M¼ÀZÀgÀAr ¯ÉÊ£À ºÁPÀÄªÀÅzÀÄ  ºÁUÀÆ ZÉÃA§gÀ PÀlÄÖªÀÅzÀÄ. (EAqÉÃ£ïÖ £ÀA. 16821),Laying of UGD line and construction of chambers in HUDCO colony ward No.2 of Dharwad,13-Apr-15,381493,20-Apr-15,381493
7,140,15-Apr-15,61711,13th Finance,13th Finance(P)2012-13(UGD),Doddamani S.M.,¥ÀAZÁPÀëj £ÀUÀgÀ CqÀØgÀ¸ÉÛUÀ¼À°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀğ ¸ÀÄzsÁgÀuÉ.,Providing and laying UGD at Panchakshri Nagar cross road in w.no.23,24-Apr-15,451638,24-Apr-15,451638
8,350,22-Apr-15,70640,13th Finance,13th Finance-2012-13(UGD),Raju S.R.,"EAqÉAmï £ÀA.27102, ºÀÄ.«ªÁqÀğ £ÀA.64gÀ SÁ¢æÃAiÀiÁ mË£ÀzÀ°è ºÁUÀÆ E¸ÁèA¥ÀÆgÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀğ C¼ÀªÀr¸ÀÄªÀzÀÄ
","Providing UGD line to Khadriya town & Islampur at ward no. 64
",24-Apr-15,440044,24-Apr-15,440044
9,218,16-Apr-15,63698,13th Finance,13th Finance(P)2012-13(Bldg),M C Paintermulla,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA02 ªÁqÀğ £ÀA 11gÀ ºÉÆ¸À PÀlÖqÀPÉÌ G½zÀ zÀÄgÀ¹Ü PÁªÀÄUÁj. (EAqÉÃ£ïÖ £ÀA. 16811),Regarding Building Work At Dharwad Division ( Zonal 2 ),27-Apr-15,293254,02-May-15,293254
10,271,18-Apr-15,67450,13th Finance,13th Finance(P)2012-13(Bldg),Hanchinmani Nagesh R,ºÀÄ§â½î «.ªÁqÀğ 28 gÀ PÀ£ÀßqÀ ¨sÀªÀ£À ¨ÁQ PÁªÀÄUÁjUÀ¼À£ÀÄß ¥ÀÆtğUÉÆ½¸ÀÄªÀÅzÀÄ E.£ÀA-18442.,Regarding Building Work At Kannada Bhavan Hubli Division,07-May-15,1054953,08-May-15,1054953
11,799,08-May-15,70812,13th Finance,13th Finance(P)2013-14(UGD),Krishna N.,ºÀÄ.«ªÁqÀğ £ÀA.40gÀ ªÀÄzÀ¤ PÁ®¤ ºÁUÀÆ UÀÄr ¥ÁèlzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Providing UGD line toMadani colony and Gudi plot at ward no. 40.,18-May-15,557962,18-May-15,557962
12,800,08-May-15,70811,13th Finance,13th Finance(P)2013-14(UGD),Krishna N.,"ºÀÄ.«ªÁqÀğ £ÀA.39gÀ PÀÈµÀÚVj PÁ®¤, ¨ÁåºÀnÖ ¥Áèl ºÁUÀÆ WÉÆÃqÀPÉ ¥ÁèlzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ C¼ÀªÀr¸ÀÄªÀÅzÀÄ.
","Providing UGD line to Krishanagiri colony, Bhyatti plot and Godake Plot  at ward no. 39
",18-May-15,551106,18-May-15,551106
13,826,11-May-15,61482,13th Finance,13th Finance(P)2012-13(UGD),Ambiger Pamppanna Irappa,"EAqÉAmï £ÀA.15653, ºÀÄ.«.ªÁqï £ÀA 41 gÀ «PÁ¸À £ÀUÀgÀ M¼ÀZÀgÀ¸ÉÛUÀ¼À°è ºÉÆ¸ÀzÁV M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.",Regarding UGD Line Work At Vikas nagar. in ward no 41,21-May-15,195239,21-May-15,195239
14,961,15-May-15,62116,13th Finance,13th Finance(P)2012-13(Drain),M M Patil,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 12 ªÁqÀğ £ÀA 21gÀ £ÀªÀ®ÆgÀ «£ÁAiÀÄPÀ£ÀUÀgÀzÀ°è vÉgÉzÀ ZÀgÀAr ¤«Äğ¸ÀÄªÀÅzÀÄ. (EAqÉÃ£ïÖ £ÀA.16870),"Construction of Open drain at Vinayak nagar navlor in ward no .21. of Dharwad
",23-May-15,522455,25-May-15,522455
15,1029,18-May-15,70816,13th Finance,13th Finance(P)2013-14(Drain),Savadi S.K.,"zsÁgÀªÁqÀ «¨sÁUÀzÀ  ªÀ®AiÀÄ PÀZÉÃj £ÀA 01 ªÁqÀğ £ÀA 17  gÀ ¹ © £ÀUÀgÀ ®AUÉÆÃn PÉgÉ ¥ÀPÀzÀ°è ºÁUÀÆ ²æÃ ªÀÄwÛPÀnÖ ªÀÄ£É ªÀÄÄA¢£À gÀ¸ÉÛ  vÉgÉzÀ ZÀgÀAr ¤«Äğ¸ÀÄªÀÅzÀÄ. (EAqÉÃ£ïÖ £ÀA. 27138)
","Construction of open  drain infront of Mattigatti house road and by the side of Langotikeri  at C.B. Nagar in ward No.17 of Dharwad
",23-May-15,2139513,25-May-15,2139513
16,1133,21-May-15,70350,13th Finance,13th Finance-2013-14(Drain),Savadi S.K.,zsÁ.«.ªÁqÀğ £ÀA 05 ±ÁAwPÁ®¤AiÀÄ°è DAiÀÄİ ¨sÁUÀzÀ°è £Á¯Á ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ.(EAqÉÃ£ïÖ £ÀA.17237),Improvements of Nalas in Shanti colony selected division in ward no 5 at dharwad.,25-May-15,702092,25-May-15,702092
17,1277,27-May-15,70417,13th Finance,13th Finance(P)2012-13(Drain),Talikoti Ravi G,"EAqÉAmï £ÀA.27062, ºÀÄ.«.ªÁqÀğ £ÀA 58 gÀ°è §qÀUÉÃgÀ NtÂ¬ÄAzÀ ¸ÀÄzsÁºÉÆmÉ®ªÀgÉUÉ Dgï.¹.¹ vÉgÉzÀ ZÀgÀAr ªÉÄÃ¯É ¸Áå¨ï ºÁPÀÄªÀzÀÄ ºÁUÀÆ ªÁqÀğ £ÀA 66 gÀ ©qÁß¼À PÁæ¸ï zÀ°è vÉgÉzÀ ZÀgÀAr ºÁUÀÆ ¹.r ¤«Äğ¸ÀÄªÀzÀÄ.",Regarding RCC Drain work At Badiger Oni To Sudha Hotel. & ward no 66 Bidnal Cross. in ward no 58,01-Jun-15,797290,01-Jun-15,797290
18,1202,25-May-15,71098,13th Finance,13th Finance-2014-15(Drain),Talikoti Ravi G,"EAqÉAmï £ÀA.26993, ºÀÄ.«.ªÁqÀğ £ÀA.55gÀ ²A¦UÀ°è PÁæ¸À¢AzÀ UÀ§ÆâgÀUÀ°è PÁæ¸ïªÀgÉUÉ, ªÁqÀğ £ÀA.57gÀ ±ÁAw¤PÉÃvÀ£ 1£ÉÃ ªÀÄÄRå gÀ¸ÉÛAiÀÄ°è Dgï.¹.¹ UÀmÁgÀ ¤«Äğ¸ÀÄªÀzÀÄ ºÁUÀÆ ªÁqÀğ £ÀA.58gÀ UÀ§ÆâgÀUÀ°è¬ÄAzÀ ²æÃ±ÉÊ® ªÀÄoÀzÀªÀgÉUÉ Dgï.¹.¹ UÀmÁgÀ ¤«Äğ¹ ¸Áèöå¨ï ºÁPÀÄªÀzÀÄ.
","Construction of RCC Open drain in Shimpi galli cross to Gabbur galli cross at ward no. 55, Shantinikatan colony at ward no. 57 & Construction of Drain & Providing slab in Gabbur galli to Shrisail matha  at ward no. 58
",01-Jun-15,608057,01-Jun-15,608057
19,1138,21-May-15,70935,13th Finance,13th Finance-2014-15(Drain),Bilebal Sanjay Gurappa,"EAqÉAmï £ÀA.27623, ºÀÄ.«.ªÁqÀğ £ÀA.42gÀ D¸ÁgÀ NtÂ UÀmÁgÀ ¤ªÀiÁğt ºÁUÀÆ ¢rØ NtÂAiÀÄ°è Cgï.¹.¹.UÀmÁgÀ ¤«Äğ¹ ¸Áèöå¨ï ºÁPÀÄªÀzÀÄ.",Construction of RCC Open drain in Asar oni & Construction of Drain & Providing slab in Diddi oni at ward no. 42,23-May-15,796627,03-Jun-15,796627
20,1590,05-Jun-15,67489,13th Finance,13th Finance(P)2012-13(Bldg),Vadavi Basavaraj B,ºÀÄ§â½î «¨sÁUÀzÀ ¥Á°PÉAiÀÄ MqÉvÀ£ÀzÀ ªÀ®AiÀÄ PÀbÉÃj £ÀA-04gÀ PÀlÖqÀ zÀÄgÀ¹Û ºÁUÀÆ £À«ÃPÀgÀt ªÀiÁqÀÄªÀzÀÄ,. Repairs and renuvation of zone office no-4 Part 2,10-Jun-15,873144,10-Jun-15,873144
21,2040,19-Jun-15,71369,13th Finance,13th Finance(P)2012-13(Bldg),Raju S.R.,"EAqÉAmï £ÀA.26910, ºÀÄ.«.ªÁqÀğ £ÀA 59gÀ°è §gÀÄªÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 11 gÀ PÀlÖqÀ £À«ÃPÀj¸ÀÄªÀzÀÄ.",Regarding  Building work At HDMC Zonel no 11. in ward no 59,22-Jun-15,936108,22-Jun-15,936108
22,2045,19-Jun-15,71371,13th Finance,13th Finance(P)2012-13(Garden),Raju S.R.,"EAqÉAmï £ÀA.27586, ºÀÄ « ªÁ £ÀA. 59gÀ UË¹AiÀiÁ mË£À UÁqÀğ£ï C©üªÀÈ¢Ş¥Àr¸ÀÄªÀzÀÄ.",Improvements to Gousia Town Garden at ward no. 59,22-Jun-15,702011,22-Jun-15,702011
23,2123,23-Jun-15,71076,13th Finance,13th Finance-2014-15(UGD),Akki Prakash Gurubasappa,"EAqÉAmï £ÀA.27627, ºÀÄ.«.ªÁqÀğ £ÀA.63gÀ £ÀÆgÁ¤ ¥ÁèlzÀ°è G½zÀ ¨sÁUÀ, ²æÃgÁªÀÄ PÁ®¤, ¸ÀAvÉÆÃµÀ£ÀUÀgÀ ºÁUÀÆ CfäÃgÀ £ÀUÀgÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ. 
","Providing UGD line to Noorani plot remaining part, Shriram colony, Santosh nagar & Ajmir nagar at ward no. 63
",24-Jun-15,1711814,24-Jun-15,1711814
24,2136,24-Jun-15,71077,13th Finance,13th Finance(P)2012-13(Drain),Kharadi J J,"EAqÉAmï £ÀA.27075, ºÀÄ.«.ªÁqÀğ £ÀA.44gÀ PÀªÀÄj¥ÉÃl JzÀÄjUÉ RgÁ¢ NtÂAiÀÄ°è Cgï.¹.¹.vÉgÉzÀ ZÀgÀAr ¤«Äğ¸ÀÄªÀzÀÄ.",Construction of RCC Drain opposite to Kamaripeth Kharadi Oni at ward no. 44.,29-Jun-15,727848,29-Jun-15,727848
25,2130,23-Jun-15,71390,13th Finance,13th Finance(P)2013-14(Drain),Doddamani R.M.,"EAqÉAmï £ÀA.27026, ºÀÄ«ªÁqÀğ £ÀA.67gÀ PÀÈ¶ PÁ«ÄğPÀgÀ £ÀUÀgÀzÀ°è ªÀÄ¼É ¤ÃgÀÄ ZÀgÀAr ¤«Äğ¸ÀÄªÀzÀÄ.",Construction of Drain in Krushi Karmika nagar at ward no. 67.,29-Jun-15,794168,29-Jun-15,794168
26,2165,25-Jun-15,71475,13th Finance,13th Finance(P)2013-14(Drain),Saleem N Lacchanna,"zsÁgÀªÁqÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 02 ªÁqÀğ £ÀA 11 «¨sÁUÀzÀ ªÁqÀğ £ÀA. 11 gÀ°è gÀ¸ÀÆ®¥ÀÆgÀ NtÂAiÀÄ°è ºÁUÀÆ ²æÃ¤ªÁ¸À xÉÃlgÀ d£ÀvÁ ºÉÆÃmÉÃ¯ï §½ vÉgÉzÀ ZÀgÀAr ¤ªÀiÁğt PÁªÀÄUÁj. (EAqÉÃ£ïÖ £ÀA. 27151)
","Construction of open drain infront of Rasulapur oni and near Janatha Hotel at Srinivas Thetar in ward No. 11 of Dharwad
",29-Jun-15,342311,29-Jun-15,342311
27,2131,23-Jun-15,71661,13th Finance,13th Finance-2011-12(Garden),Doddamani R.M.,"EAqÉAmï £ÀA.26913, ºÀÄ.«.ªÁqÀğ. £ÀA. 67gÀ ¸ÉÆÃ¤AiÀiÁUÁA¢ü £ÀUÀgÀzÀ°è UÁqÀğ£À C©üªÀÈ¢Ş ªÀiÁqÀÄªÀzÀÄ.",Improvements to Sonia Gandhi nagar Garden at ward no. 67 ,29-Jun-15,136343,29-Jun-15,136343
28,2099,22-Jun-15,71388,13th Finance,13th Finance-2013-14(Drain),Pattankari Basha Hajaratsab,"EAqÉAmï £ÀA.27028, ºÀÄ.«ªÁqÀğ £ÀA.52 vÀ©Ã§¯ÁåAqÀzÀ°è vÉgÉzÀ ZÀgÀAr PÀlÄÖªÀÅzÀÄ.",Constuction of Drain in Tabibland at ward no 52.,29-Jun-15,419529,29-Jun-15,419529
29,2142,24-Jun-15,71700,13th Finance,13th Finance-2014-15(RD_BRDG),Jadhav V.S.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 01 ªÁqÀğ £ÀA 14gÀ ªÀÄwÛPÀnÖAiÀÄªÀgÀ ªÀÄ£É ªÀÄÄA¢£À gÀ¸ÉÛ ºÁUÀÆ ¹.© £ÀUÀgÀ ®AUÉÆÃn PÉgÉ ¥ÀPÀÌzÀ gÀ¸ÉÛ C©üªÀÈ¢Ş ¥Àr¸ÀÄªÀÅzÀÄ. (EAqÉÃ£ïÖ £ÀA. 27393),Regarding Roads Work at Mattikatti House in ward no.14,29-Jun-15,4651423,29-Jun-15,4651423
30,2437,30-Jun-15,70795,13th Finance,13th Finance-2011-12(Drain),Nagaraj Krishanappa,"EAqÉAmï £ÀA.27596, ºÀÄ.«.ªÁqÀğ. £ÀA. 58gÀ ±Á¯É £ÀA. 12gÀ »A¨sÁUÀzÀ°è vÉgÉzÀ ZÀgÀAr zÀÄgÀ¹Ü ºÁUÀÆ Dgï.¹.¹ ¸Áèöå¨ï ºÁPÀÄªÀzÀÄ.
","Repairs of Drain & Providing slab behind School No. 12 at ward no. 58 
",04-Jul-15,118716,06-Jul-15,118716
31,2337,29-Jun-15,72770,13th Finance,13th Finance-2014-15(RD_BRDG),Jadhav V.S.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 02 ªÁqÀğ .06gÀ G¸ÀÄQ£À CqÉØ PÀApNtÂ GzÀÄğ ±Á¯É¬ÄAzÀ ¸ÀªÀzÀwÛ gÀ¸ÉÛAiÀÄªÀgÉUÉ gÀ¸ÉÛ C©üªÀÈ¢Ş PÁªÀÄUÁj. (EAqÉÃ£ïÖ £ÀA. 27390),Improvements to Road in Usukin adde kanti oni ward no. in.06 of Dharwad,06-Jul-15,2082709,06-Jul-15,2082709
32,2429,30-Jun-15,70528,13th Finance,13th Finance(P)2013-14(UGD),Vibhuti A.B.,"EAqÉAmï £ÀA.27000, ºÀÄ«ªÁqÀğ £ÀA.66gÀ ºÉÆ¸À UÀ§ÆâgÀ §¸ÀªÀ£ÀUÀgÀ, ±ÀgÀt£ÀUÀgÀ ºÁUÀÆ £ÉÃPÁgÀ£ÀUÀgÀ ¸ÀAAiÀÄÄPÀÛ PÀ£ÁğlPÀ PÁ®¤AiÀÄ°è ªÀÄvÀÄÛ ºÉÆ¸À UÀ§ÆâgÀ ²æÃ. G¥ÁàgÀ gÀªÀgÀ ªÀÄ£É¬ÄAzÀ ¦.©.gÉÆÃqÀ ªÀgÉUÉ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ 
","Providing UGD line to New Gabbur Basavnagar, Sharan nagar & Nekarnagar Samyukt karnataka colony & New Gabbur Shri. Uppar home to PB road at ward no. 66
",09-Jul-15,472671,09-Jul-15,472671
33,2369,29-Jun-15,71379,13th Finance,13th Finance-2011-12(Electrical),Devagiri Electricals,"ºÀÄ§â½î «¨sÁUÀzÀ ªÁqÀğ £ÀA. 38 gÀ°è §gÀÄªÀ gÁªÀÄ ªÀÄ£ÉÆÃºÀgÀ¯ÉÆÃ»AiÀiÁ £ÀUÀgÀ ªÀÄÄRå gÀ¸ÉÛ PÉgÉ ¸ÉÃvÀÄªÉÄAzÀ PÀÄµÀ×gÉÆÃUÀ D¸ÀàvÉæUÉ ºÉÆÃUÀÄªÀ ªÀÄÄRå gÀ¸ÉÛAiÀÄ°è PÀA§UÀ¼À£ÀÄß ºÁUÀÆ ¯ÉÊ£ï C¼ÀªÀr¹ ©Ã¢¢Ã¥ÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀÅzÀÄ.
","Erection of pole, street light line, supplying and fixing of street lights at the main road from Rammanohar Lohiyanagar to leprosy hospital of ward no. 38 Hubli division.
",09-Jul-15,252108,09-Jul-15,252108
34,2637,07-Jul-15,66905,13th Finance,13th Finance-2012-13(SWM),TPS Infrastructure Limited,4000 °Ã ¸ÁªÀÄxÀåğzÀ eÉnÖAUï PÀªÀiï ¸ÉPÀë£ï ªÀÄ²Ã£À ¥ÀÆgÉÊ¸ÀÄªÀ PÀÄjvÀÄ. (2 £ÀA.),Chassis Mounted Combination Suction Cum Jetting Machine of Capacity 4000 ltr Mounted on a 9.0 ton GVW (02 Nos),09-Jul-15,5251012,09-Jul-15,5251012
35,2366,29-Jun-15,71392,13th Finance,13th Finance-2014-15(Electrical),Devagiri Electricals,ºÀÄ§â½î «¨sÁUÀzÀ ªÁqÀğ £ÀA 65 gÀ°è §gÀÄªÀ ««zsÀ ¸ÀÜ¼ÀUÀ¼À°è 4 «Ä¤ ºÉÊªÀiÁ¸ÀÖ ºÁUÀÆ ©Ã¢¢Ã¥ÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀzÀÄ.,"Erection of 4 mini highmast, supplying and fixing of street lights at ward no. 65 of Hubli division.",09-Jul-15,376445,09-Jul-15,376445
36,2581,06-Jul-15,63765,13th Finance,13th Finance(P)2012-13(Drain),Tarlagatti C.Y.,ºÀÄ.«.ªÁqÀğ £ÀA 35 gÀ vÉÆÃ¼À£ÀPÉÃj vÀÄA© ºÀjzÀ£ÀAvÀgÀ ºÉÆgÀ ¤ÃgÀÄ ºÉÆÃUÀ®Ä PÁ½zÁ¸À £ÀUÀgÀ PÁæ¸À ªÀgÉUÉ Dgï.¹.¹ vÉgÉzÀ ZÀgÀAr ¤«Äğ¸ÀÄªÀÅzÀÄ.,Regarding Drain Work At Tholankeri To Kalidas nagar Cross in ward no 35,13-Jul-15,1659013,13-Jul-15,1659013
37,2578,04-Jul-15,63768,13th Finance,13th Finance-2013-14(Drain),Tarlagatti C.Y.,ºÀÄ§â½î ªÁqÀğ £ÀA. 35 vÉÆÃ¼À£À PÉgÉvÀÄA© ºÉZÁÑUÁzÀ ¥ÀæªÁºÀÀ ¤ÃgÀÄ  ²gÀÆgÀ ¥ÁPÀğ ºÀwÛgÀ GtPÀ¯ï £Á¯Á ªÀgÉUÉ  §¢AiÀÄ «£Áå¸ÀUÀ½UÉ vÉÆAzÀgÉ DUÀzÀAvÉ Dgï.¹.¹ ZÀgÀAr ¤«Äğ¸ÀÄªÀzÀÄ,Providing and contruction of RCC open drain to unakle nala to drain off exess flow from tolenkeri in w.no.35,13-Jul-15,3822202,13-Jul-15,3822202
38,2709,09-Jul-15,61558,13th Finance,13th Finance(P)2012-13(UGD),Ambiger Pamppanna Irappa,"EAqÉAmï £ÀA.15654, ºÀÄ.«.ªÁqÀğ £ÀA 41 gÀ ¹zÀŞ°AUÉÃ±ÀégÀ PÁ¯ÉÆÃ¤AiÀÄ°è M¼ÀZÀgÀªÀÄr PÉÆ¼ÀªÉ ºÁQ ZÉÃA§gÀUÀ¼À£ÀÄß PÀnÖ¸ÀÄªÀÅzÀÄ.",Regarding UGD Line Work At Siddlingeshwar Colony. in ward no 41.,13-Jul-15,854611,14-Jul-15,854611
39,2583,06-Jul-15,71215,13th Finance,13th Finance-2014-15(UGD),Panchputra Manjunath,"ºÀÄ§â½î «¨sÁUÀzÀ ªÁqÀğ £ÀA. 27gÀ ¹zÀİ¥ÀàdÓ£À UÀÄr »A¨sÁUÀzÀ ¹zÉİ±ÀégÀ£ÀUÀgÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.
","Providing  U.G.D. line  ¨behind Siddappajjan gudi Siddeshwarngar at  ward no 27
",13-Jul-15,461932,14-Jul-15,461932
40,2719,09-Jul-15,71554,13th Finance,13th Finance-2014-15(UGD),Bhojagar Shankar R,ºÀÄ.«.ªÁqÀğ.£ÀA.48gÀ ZÉÃvÀ£Á PÁ¯ÉÆÃ¤ ªÀÄÄRå gÀ¸ÉÛAiÀÄ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁQ ZÉÃA§gï PÀlÄÖªÀzÀÄ. ,Providing  U.G.D. line at Chetana colony main road in  ward no 48.,14-Jul-15,391838,14-Jul-15,391838
41,2799,13-Jul-15,72013,13th Finance,13th Finance-2014-15(UGD),Savadi S.K.,"zsÁgÀªÁqÀ «¨sÁUÀzÀ ªÁqÀğ £ÀA. 8 gÀ°è JA.Dgï £ÀUÀgÀ 2£ÉÃ ªÀÄÄRågÀ¸ÉÛAiÀÄ°è AiÀÄÄ.f.r.¯ÉÊ£ï C¼ÀªÀr¸ÀÄªÀÅzÀÄ ªÀÄvÀÄÛ ZÉÃA§gÀ PÀlÄÖªÀÅzÀÄ. (EAqÉÃ£ïÖ £ÀA. 27156)
","Providing and Laying U.G.D. line and construction of chambers at M.R Nagar 2nd main Road in ward No. 8 of Dharwad.
",16-Jul-15,199562,16-Jul-15,199562
42,2028,18-Jun-15,70800,13th Finance,13th Finance-2013-14(Bldg),Gadag Kushal C,ºÀÄ.«ªÁqÀğ £ÀA.47 ¯Áå«ÄAUÀl£ï ¸ÀÆÌ® PÀA¥ËAqÀ zÀÄgÀ¹Ü.,Improvements to Lamington School Compound at ward no 47,20-Jul-15,85622,20-Jul-15,85622
43,2900,16-Jul-15,71076,13th Finance,13th Finance-2014-15(UGD),Akki Prakash Gurubasappa,"EAqÉAmï £ÀA.27627, ºÀÄ.«.ªÁqÀğ £ÀA.63gÀ £ÀÆgÁ¤ ¥ÁèlzÀ°è G½zÀ ¨sÁUÀ, ²æÃgÁªÀÄ PÁ®¤, ¸ÀAvÉÆÃµÀ£ÀUÀgÀ ºÁUÀÆ CfäÃgÀ £ÀUÀgÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ. 
","Providing UGD line to Noorani plot remaining part, Shriram colony, Santosh nagar & Ajmir nagar at ward no. 63
",20-Jul-15,871046,20-Jul-15,871046
44,2889,15-Jul-15,65066,13th Finance,13th Finance(P)2012-13(UGD),Jain M.M.,ºÀÄ.«.ªÁqÀğ £ÀA 48 gÀ UÁA¢üªÁqÁ ªÀÄÄSÉågÀ¸ÉÛ ¯Á®§zÀÆİgÀ PÁ¯ÉÆÃ¤¬ÄAzÀ £Á¯ÁzÀªÀgÉUÉ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.,Regarding UGD Line work At Gandhi Wada Main Road Laal Bahaddhur Colony To Nala. in ward no 48,23-Jul-15,264250,24-Jul-15,264250
45,2860,14-Jul-15,71345,13th Finance,13th Finance(P)2013-14(UGD),Bhajantri Pandurang M,ºÀÄ.«ªÁqÀğ £ÀA.37gÀ UÉÆÃPÀÄ® UÁæªÀÄzÀ «ÃgÀ DAd£ÉÃAiÀÄ£ÀUÀgÀ ºÁUÀÆ vÁjºÁ¼À §¸ÀªÀ PÁ®¤AiÀÄ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Providing UGD line to Gokula Grama Veer Ajanayanagar and Tharihal Basav colony  at ward no. 37,23-Jul-15,557377,25-Jul-15,557377
